Predictor	MicrobiomePredictor	Response	medsamp	lower95	upper95	postprob	sig
micro	disper_weighted_unifrac	maxBd_outcome	-2.63822463145241	-9.04661679095688	4.37958754578152	0.782357142857143	FALSE
micro	dist_weighted_unifrac	maxBd_outcome	5.60757883450908	2.4560892437426	8.57637861227904	0.9975	TRUE
micro	inhibRich	maxBd_outcome	-5.03250063217445	-11.4080176817501	1.67793699184181	0.9335	FALSE
micro	observed_otus	maxBd_outcome	1.86596679554715	-5.39192754169873	10.0875178307234	0.690928571428571	FALSE
micro	percInhib	maxBd_outcome	-4.30965516050749	-9.07377972748633	0.410755114811597	0.9565	TRUE
micro	shannon	maxBd_outcome	4.12058067240166	-1.79448865090414	10.4496184776128	0.917428571428571	FALSE
micro	disper_weighted_unifrac	PABD	3.92704322006355	-7.22814723764365	17.9304695705515	0.76315	FALSE
micro	dist_weighted_unifrac	PABD	4.70308559609513	-2.42096484361856	13.046980037637	0.9104	FALSE
micro	inhibRich	PABD	-9.95090503217548	-19.2827339884763	-1.48888367793349	0.99265	TRUE
micro	observed_otus	PABD	-5.61016093312208	-16.2552906586718	4.82855434383442	0.86125	FALSE
micro	percInhib	PABD	3.39171933753246	-4.06613565984865	12.8803591111044	0.8312	FALSE
micro	shannon	PABD	-2.87455688936502	-11.8231990546739	4.80111546544765	0.77495	FALSE
