Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.969, -25.41% var explained	4.809	species	%IncrMSE=6.8
NA	NA	NA	p_chao1	%IncrMSE=2.01
NA	NA	NA	p_percInhib	%IncrMSE=1.87
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=1.68
NA	NA	NA	p_faith_pd	%IncrMSE=1.41
NA	NA	NA	p_inhibRich	%IncrMSE=1.31
NA	NA	NA	p_shannon	%IncrMSE=0.93
NA	NA	NA	p_observed_otus	%IncrMSE=0.49
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-0.06
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-0.44
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-0.92
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-0.99
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=-2.91
nop	5.457, 1.8% var explained	6.251	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.61
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.54
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=3.12
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.53
NA	NA	NA	species	%IncrMSE=1.91
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.85
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.85
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=1.83
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.76
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.75
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.69
NA	NA	NA	Sphingobacteriia:Pedobacter_sp	%IncrMSE=1.68
NA	NA	NA	Deltaproteobacteria:Bdellovibrio_sp	%IncrMSE=1.66
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-15	%IncrMSE=1.49
NA	NA	NA	Clostridia:o__Clostridiales	%IncrMSE=1.46
withp	5.38, 3.19% var explained	5.992	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.43
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.43
NA	NA	NA	species	%IncrMSE=2.66
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=2.38
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=2.29
NA	NA	NA	Deltaproteobacteria:Bdellovibrio_sp	%IncrMSE=2.18
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.16
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.14
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.11
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-15	%IncrMSE=1.79
NA	NA	NA	Bacteroidia:Parabacteroides_sp	%IncrMSE=1.71
NA	NA	NA	Clostridia:o__Clostridiales	%IncrMSE=1.49
NA	NA	NA	Gammaproteobacteria:g__Acinetobacter (inhibitory)	%IncrMSE=1.46
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=1.44
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.44
