SampleID	Bd_load	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	future_max_bd_load	presence_absence	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac
1788.mck236Pre.5Bubo.1	0	0	Anbo	1	Pre	Bd-exposed	Anbo_1	5	0	3.333333333	TRUE	65	80.16666667	3.411650724	11.05299752	0.2892	0.446986576	0.13489975	0.82465647	0.7516664	0.638845703	7	0.4756	0.50458607	0.409748147	-0.021073117	0.024798574	-0.226804895	-0.148664369	28.24357674	22.46010257	18.61255843
1788.mck237Pre.5Bubo.2	0	0	Anbo	2	Pre	Bd-exposed	Anbo_2	5	0	7.666666667	TRUE	57	62.25	3.500254189	8.973371685	0.5752	0.501293896	0.419121336	0.813929087	0.746368681	0.518105232	6	0.4727	0.242908595	0.283111346	-0.108391212	0.0053622	-0.017378386	-0.17270975	28.24357674	22.46010257	18.61255843
1788.mck185Pre.4Bubo.3	0	0	Anbo	3	Pre	Bd-exposed	Anbo_3	4	0	7	TRUE	64	73	3.594148959	11.44576934	0.5828	0.483555523	0.417061935	2.088692825	0.691869093	2.123381517	4	0.0791	0.586354198	0.615741403	-0.467614961	0.12389234	-0.16023054	-0.105233998	28.24357674	22.46010257	18.61255843
1788.mck239Pre.5Bubo.4	0	0	Anbo	4	Pre	Bd-exposed	Anbo_4	5	0	9.333333333	TRUE	82	101.4285714	4.315152102	12.98468993	0.3361	0.507959948	0.167459746	1.513566576	0.692948292	1.33121267	8	0.1974	0.490464721	0.488387147	-0.250068778	0.041334391	0.144480811	-0.150323984	28.24357674	22.46010257	18.61255843
1788.mck240Pre.5Bubo.5	0	0	Anbo	5	Pre	Bd-exposed	Anbo_5	5	0	3.666666667	TRUE	74	80.42857143	3.938796397	13.28570305	0.418	0.386400824	0.273485885	0.635853228	0.641131406	0.447528984	5	0.3426	0.402765965	0.188331788	-0.095733184	0.024863531	-0.118338893	-0.115802791	28.24357674	22.46010257	18.61255843
1788.mck241Pre.5Bubo.6	0	0	Anbo	6	Pre	Bd-exposed	Anbo_6	5	0	3.666666667	TRUE	73	81.75	2.711231082	12.94288914	0.3025	0.481675007	0.208547236	1.170587568	0.771356058	1.115484523	8	0.6099	0.56765536	0.340013623	0.06994151	0.108220983	0.213734851	-0.172569341	28.24357674	22.46010257	18.61255843
1788.mck246Pre.4Osse.1	0	0	Osse	1	Pre	Bd-exposed	Osse_1	5	0	0	FALSE	144	162.75	4.064715587	17.83697287	0.4825	0.61426208	0.286727679	1.31264897	0.783701219	0.494797745	18	0.5143	0.254748816	0.21932331	0.06000751	0.316450474	0.555130413	-0.149389647	28.24357674	22.46010257	18.61255843
1788.mck247Pre.4Osse.2	0	0	Osse	2	Pre	Bd-exposed	Osse_2	5	0	0	FALSE	88	93.625	2.962401593	12.12811219	NA	NA	NA	1.474792805	0.713486844	0.618148159	12	0.1399	0.034142822	0.528081346	0.129288461	0.527634573	0.549094847	-0.152646957	28.24357674	22.46010257	18.61255843
1788.mck248Pre.4Osse.3	0	0	Osse	3	Pre	Bd-exposed	Osse_3	5	0	0	FALSE	115	119.875	2.935491884	14.76757134	NA	NA	NA	1.691032666	0.708141902	0.641570554	14	0.6968	0.282227971	0.174875727	0.084403955	0.363832553	0.266856813	-0.151163165	28.24357674	22.46010257	18.61255843
1788.mck249Pre.4Osse.4	0	0	Osse	4	Pre	Bd-exposed	Osse_4	5	0	1.333333333	TRUE	50	53.75	3.572550192	7.150589722	0.7404	0.583256967	0.519477556	1.428264892	0.909926509	2.531418078	11	0.4456	0.6130298	0.938103979	-0.472260017	0.082533629	-0.559662788	-0.078508571	28.24357674	22.46010257	18.61255843
1788.mck250Pre.4Osse.5	0	0	Osse	5	Pre	Bd-exposed	Osse_5	5	0	2.333333333	TRUE	96	107	3.886119202	12.77746308	0.4743	0.695866911	0.269340987	1.263029606	0.738720734	0.426644959	13	0.4508	0.319451633	0.465642068	0.006129261	0.261084354	0.046921749	-0.145038172	28.24357674	22.46010257	18.61255843
1788.mck251Pre.4Osse.6	0	0	Osse	6	Pre	Bd-exposed	Osse_6	5	0	0	FALSE	86	91.625	4.231059748	13.05906993	0.3115	0.489442476	0.138204859	1.28903025	0.868174887	0.70969158	16	0.5771	0.402543826	0.422779042	0.081304575	0.243987928	-0.067895704	-0.148607724	28.24357674	22.46010257	18.61255843
1788.mck203Pre.5Raca.1	0	0	Raca	1	Pre	Bd-exposed	Raca_1	5	0	1.333333333	TRUE	109	116.1578947	3.399926299	16.86752144	0.6804	0.640856893	0.2818779	1.709533	0.623010649	0.992632573	4	0.477	0.084650901	-0.169786872	0.050976125	-0.540150435	0.281541125	0.119672965	28.24357674	22.46010257	18.61255843
1788.mck204Pre.5Raca.2	0	0	Raca	2	Pre	Bd-exposed	Raca_2	5	0	0	FALSE	82	90.5	3.609444072	12.70413722	0.5068	0.638245914	0.37624258	1.251142952	0.928249765	0.859781148	10	0.2993	-0.051135018	-0.008782041	0.080683552	-0.219394458	-0.307782984	0.191281409	28.24357674	22.46010257	18.61255843
1788.mck205Pre.5Raca.3	0	0	Raca	3	Pre	Bd-exposed	Raca_3	5	0	1.666666667	TRUE	90	94	4.369142506	13.91683571	NA	NA	NA	0.957063393	0.664819715	0.652620797	8	0.2914	0.139666743	-0.06801349	0.160051513	-0.284203567	0.174686669	0.235431207	28.24357674	22.46010257	18.61255843
