sampleid	species	p_inhibRich	p_percInhib	p_dist_weighted_unifrac	p_dist_unweighted_unifrac	p_dist_braycurtis	p_disper_weighted_unifrac	p_disper_unweighted_unifrac	p_disper_braycurtis	p_faith_pd	p_shannon	p_chao1	p_observed_otus	future_max_bd_load	presence_absence
Raca_3	Raca	0.28075	0.46025	0.475	0.42475	0.34325	0.5915	0.5715	0.57375	0.51675	0.5585	0.5335	0.541	1.666666667	TRUE
Raca_5	Raca	0.38225	0.76475	0.58725	0.36575	0.6195	0.429	0.49475	0.612	0.52125	0.5915	0.58625	0.573	0.333333333	TRUE
Raca_1	Raca	0.11025	0.78625	0.5045	0.69025	0.77425	0.47325	0.65575	0.756	0.58425	0.2965	0.55225	0.53125	1.333333333	TRUE
Anbo_4	Anbo	0.49975	0.1675	0.8115	0.63325	0.62925	0.4865	0.43575	0.64175	0.55275	0.80225	0.597	0.59825	9.333333333	TRUE
Osse_1	Osse	0.844	0.955	0.37825	0.52575	0.44225	0.45275	0.1845	0.8245	0.23075	0.01475	0.3995	0.34375	0	FALSE
Raca_2	Raca	0.38225	0.46725	0.683	0.57375	0.61875	0.696	0.5655	0.63325	0.315	0.2495	0.438	0.32275	0	FALSE
Rhma_2	Rhma	0.5245	0.54475	0.7505	0.72075	0.734	0.868	0.7735	0.703	0.394	0.197	0.33575	0.37175	3	TRUE
Osse_6	Osse	0.776	0.89075	0.23375	0.5085	0.311	0.24475	0.41	0.284	0.1465	0.33725	0.246	0.17975	0	FALSE
Rhma_8	Rhma	0.6295	0.376	0.57775	0.76575	0.55825	0.52625	0.63925	0.417	0.65975	0.7435	0.70875	0.7165	2.666666667	TRUE
Raca_4	Raca	0.28075	0.61225	0.532	0.4575	0.63775	0.56325	0.73875	0.48625	0.38175	0.348	0.44075	0.32775	1.333333333	TRUE
Rapi_3	Rapi	0.3235	0.3635	0.72	0.65175	0.7915	0.26425	0.2145	0.22075	0.475	0.712	0.53075	0.54325	0	FALSE
Anbo_5	Anbo	0.385	0.523	0.50075	0.433	0.555	0.46025	0.48825	0.5365	0.6405	0.55275	0.66825	0.73875	3.666666667	TRUE
Anbo_2	Anbo	0.163	0.4165	0.97625	0.70175	0.95775	0.762	0.735	0.957	0.34775	0.47375	0.29675	0.3255	7.666666667	TRUE
Osse_2	Osse	0.69975	0.6015	0.978	0.664	0.97175	0.739	0.3425	0.63825	0.10625	0.039	0.162	0.14425	0	FALSE
Anbo_1	Anbo	0.26175	0.6115	0.33875	0.5095	0.456	0.53425	0.53375	0.2235	0.5795	0.53425	0.5815	0.6115	3.333333333	TRUE
Osse_3	Osse	0.69975	0.9655	0.61675	0.6915	0.73825	0.312	0.25225	0.5545	0.159	0.04275	0.32625	0.30725	0	FALSE
Raca_6	Raca	0.4985	0.523	0.21725	0.45725	0.218	0.635	0.34075	0.729	0.489	0.722	0.71475	0.575	0	FALSE
Anbo_3	Anbo	0.26175	0.0855	0.96425	0.59975	0.89975	0.90775	0.429	0.903	0.3775	0.5905	0.2295	0.328	7	TRUE
Osse_4	Osse	0.50725	0.905	0.722	0.57975	0.63575	0.6915	0.564	0.69725	0.08025	0.059	0.119	0.05375	1.333333333	TRUE
Rhma_9	Rhma	0.41175	0.23575	0.7155	0.6625	0.805	0.63725	0.66675	0.62375	0.73625	0.6045	0.67075	0.6905	3.333333333	TRUE
Anbo_6	Anbo	0.617	0.51225	0.21575	0.4225	0.305	0.64025	0.50075	0.48125	0.365	0.35625	0.3955	0.28625	3.666666667	TRUE
Osse_5	Osse	0.39925	0.92125	0.312	0.87325	0.3465	0.3875	0.487	0.60875	0.161	0.0285	0.20375	0.15225	2.333333333	TRUE
