Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.383, -14.86% var explained	4.139	species	%IncrMSE=6.87
NA	NA	NA	p_percInhib	%IncrMSE=2.34
NA	NA	NA	p_chao1	%IncrMSE=1.12
NA	NA	NA	p_faith_pd	%IncrMSE=-0.19
NA	NA	NA	p_observed_otus	%IncrMSE=-0.34
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-0.44
NA	NA	NA	p_inhibRich	%IncrMSE=-0.46
NA	NA	NA	p_shannon	%IncrMSE=-0.62
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-0.71
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-0.79
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.2
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=-2.26
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-2.48
nop	5.457, 1.8% var explained	6.251	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.61
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.54
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=3.12
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.53
NA	NA	NA	species	%IncrMSE=1.91
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.85
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.85
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=1.83
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.76
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.75
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.69
NA	NA	NA	Sphingobacteriia:Pedobacter_sp	%IncrMSE=1.68
NA	NA	NA	Deltaproteobacteria:Bdellovibrio_sp	%IncrMSE=1.66
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-15	%IncrMSE=1.49
NA	NA	NA	Clostridia:o__Clostridiales	%IncrMSE=1.46
withp	5.507, 0.89% var explained	5.814	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.27
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.05
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.42
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=2.29
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=2.08
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=1.98
NA	NA	NA	species	%IncrMSE=1.95
NA	NA	NA	Sphingobacteriia:Mucilaginibacter_kameinonensis	%IncrMSE=1.9
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales	%IncrMSE=1.84
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.74
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.64
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.47
NA	NA	NA	Bacteroidia:Parabacteroides_sp	%IncrMSE=1.42
NA	NA	NA	Clostridia:f__Veillonellaceae_sp-6	%IncrMSE=1.42
NA	NA	NA	Bacteroidia:PW3_sp-7	%IncrMSE=1.4
