Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.383, -14.86% var explained	4.139	species	%IncrMSE=6.87
NA	NA	NA	p_percInhib	%IncrMSE=2.34
NA	NA	NA	p_chao1	%IncrMSE=1.12
NA	NA	NA	p_faith_pd	%IncrMSE=-0.19
NA	NA	NA	p_observed_otus	%IncrMSE=-0.34
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-0.44
NA	NA	NA	p_inhibRich	%IncrMSE=-0.46
NA	NA	NA	p_shannon	%IncrMSE=-0.62
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-0.71
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-0.79
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.2
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=-2.26
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-2.48
nop	5.115, 7.96% var explained	5.079	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.08
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.85
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.62
NA	NA	NA	species	%IncrMSE=2.06
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.97
NA	NA	NA	Gammaproteobacteria:Pseudomonas_fragi (inhibitory)	%IncrMSE=1.65
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=1.62
NA	NA	NA	Gammaproteobacteria:g__Stenotrophomonas	%IncrMSE=1.61
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=1.5
NA	NA	NA	Bacteroidia:g__Bacteroides-12	%IncrMSE=1.46
NA	NA	NA	Bacteroidia:o__Bacteroidales_sp	%IncrMSE=1.45
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.44
NA	NA	NA	Alphaproteobacteria:g__Caulobacter	%IncrMSE=1.42
NA	NA	NA	Clostridia:Clostridium_perfringens-2	%IncrMSE=1.42
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.39
withp	5.351, 3.71% var explained	5.443	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.7
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.55
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=3.38
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.65
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.31
NA	NA	NA	Sphingobacteriia:Pedobacter_sp	%IncrMSE=1.8
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales-5	%IncrMSE=1.69
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.67
NA	NA	NA	Cytophagia:Leadbetterella_sp-1	%IncrMSE=1.61
NA	NA	NA	species	%IncrMSE=1.56
NA	NA	NA	p_shannon	%IncrMSE=1.47
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=1.38
NA	NA	NA	p_observed_otus	%IncrMSE=1.37
NA	NA	NA	Alphaproteobacteria:Shinella_granuli	%IncrMSE=1.37
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae	%IncrMSE=1.32
