Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.383, -14.86% var explained	4.139	species	%IncrMSE=6.87
NA	NA	NA	p_percInhib	%IncrMSE=2.34
NA	NA	NA	p_chao1	%IncrMSE=1.12
NA	NA	NA	p_faith_pd	%IncrMSE=-0.19
NA	NA	NA	p_observed_otus	%IncrMSE=-0.34
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-0.44
NA	NA	NA	p_inhibRich	%IncrMSE=-0.46
NA	NA	NA	p_shannon	%IncrMSE=-0.62
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-0.71
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-0.79
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.2
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=-2.26
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-2.48
nop	5.588, -0.56% var explained	5.583	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.34
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.13
NA	NA	NA	species	%IncrMSE=2.2
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp-1	%IncrMSE=1.95
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=1.94
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.93
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.76
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.74
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.61
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=1.58
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=1.53
NA	NA	NA	Gammaproteobacteria:g__Aeromonas (inhibitory)	%IncrMSE=1.49
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.44
NA	NA	NA	Bacteroidia:o__Bacteroidales_sp	%IncrMSE=1.42
NA	NA	NA	Alphaproteobacteria:Rhizobium_sp (inhibitory)	%IncrMSE=1.37
withp	5.216, 6.14% var explained	5.325	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.72
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.62
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=2.81
NA	NA	NA	species	%IncrMSE=2.59
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=2.11
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=1.95
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-7	%IncrMSE=1.93
NA	NA	NA	Clostridia:o__Clostridiales	%IncrMSE=1.88
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-15	%IncrMSE=1.82
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.65
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.6
NA	NA	NA	Sphingobacteriia:Pedobacter_sp-2	%IncrMSE=1.53
NA	NA	NA	Gammaproteobacteria:g__Acinetobacter (inhibitory)	%IncrMSE=1.5
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=1.46
NA	NA	NA	Actinobacteria:f__Nocardioidaceae	%IncrMSE=1.46
