Response	Type	Predictor	median	lower95	upper95	postprob	postprobcomp	significant
disper_braycurtis	Time	timeAnbo	0.0240621345122112	0.0128349811798113	0.0360114179434949	1	0	TRUE
disper_braycurtis	Time	timeMean	0.00636369805951523	-0.00214978576157829	0.0154752943320676	0.9223	0.0777	FALSE
disper_braycurtis	Time	timeOsse	0.00539728261786306	-0.00768532710779224	0.0184168115485451	0.7921	0.2079	FALSE
disper_braycurtis	Time	timeRaca	-0.00841544082075843	-0.0207843307655058	0.00422420375526987	0.8987	0.1013	FALSE
disper_braycurtis	Time	timeRapi	0.00151952665002389	-0.0185085831813697	0.0191217121580684	0.5631	0.4369	FALSE
disper_braycurtis	Time	timeRhma	0.00948510208374946	-0.00504401482134762	0.0228731261424291	0.9119	0.0881	FALSE
disper_unweighted_unifrac	Time	timeAnbo	0.00706908061168196	-0.0017803072723678	0.0153266295334121	0.9459	0.0541	FALSE
disper_unweighted_unifrac	Time	timeMean	0.00515802097136131	-0.00175849993011778	0.0117560201012067	0.93	0.07	FALSE
disper_unweighted_unifrac	Time	timeOsse	0.0150953581687779	0.00437916363238924	0.0246757792165311	0.9985	0.00149999999999995	TRUE
disper_unweighted_unifrac	Time	timeRaca	-0.00564304025020912	-0.0154742746675311	0.00375772605264973	0.8718	0.1282	FALSE
disper_unweighted_unifrac	Time	timeRapi	0.0120624447155345	-0.00221867622731483	0.0266727113811615	0.9517	0.0483	FALSE
disper_unweighted_unifrac	Time	timeRhma	-0.00294297435900838	-0.0135393546549734	0.00750804313743616	0.7091	0.2909	FALSE
disper_weighted_unifrac	Time	timeAnbo	0.0246908237450695	0.00800837250176534	0.0415829814860115	0.9977	0.00229999999999997	TRUE
disper_weighted_unifrac	Time	timeMean	0.0117817755849237	-0.00149805143594368	0.0246341214635457	0.9598	0.0402	FALSE
disper_weighted_unifrac	Time	timeOsse	0.0178787888970284	-0.00120100640483651	0.0383542538537094	0.96	0.04	FALSE
disper_weighted_unifrac	Time	timeRaca	0.00210884513374145	-0.0164007888358552	0.0203882637005684	0.5909	0.4091	FALSE
disper_weighted_unifrac	Time	timeRapi	-0.00565964772075825	-0.0337025253658966	0.0213774376388846	0.6583	0.3417	FALSE
disper_weighted_unifrac	Time	timeRhma	0.0200167131236232	-0.000653617112551234	0.0408732463791886	0.9697	0.0303	FALSE
dist_braycurtis	Time	timeAnbo	0.0291884578749869	-0.00141197876005816	0.0567572591213852	0.9751	0.0249	TRUE
dist_braycurtis	Time	timeMean	0.0150324776565373	-0.0110553962568158	0.0408765158172769	0.8771	0.1229	FALSE
dist_braycurtis	Time	timeOsse	0.0028305268894169	-0.0357908477197333	0.0405160783251405	0.5621	0.4379	FALSE
dist_braycurtis	Time	timeRaca	0.0227486058668797	-0.0185934288300178	0.0625343926933292	0.8579	0.1421	FALSE
dist_braycurtis	Time	timeRapi	0.0143993747968228	-0.0479922740171509	0.072483453353503	0.6826	0.3174	FALSE
dist_braycurtis	Time	timeRhma	0.0068294205199407	-0.0339884803566372	0.0480207752602311	0.6251	0.3749	FALSE
dist_unweighted_unifrac	Time	timeAnbo	-0.00216087747297244	-0.0202470617121122	0.0154978065570785	0.5936	0.4064	FALSE
dist_unweighted_unifrac	Time	timeMean	-0.0185424693702186	-0.0345235779286927	-0.00266337789857236	0.9894	0.0106000000000001	TRUE
dist_unweighted_unifrac	Time	timeOsse	-0.026171691250708	-0.0505397019169028	-0.00338388161726094	0.986	0.014	TRUE
